PERMNO,date,PRC
25419,20050803,78.89000
25419,20050804,78.99000
25419,20050805,79.71000
25419,20050808,82.46000
25419,20050809,83.02000
25419,20050810,81.53000
25419,20050811,80.70000
25419,20050812,84.40000
25419,20050815,82.19000
25419,20050816,80.24000
25419,20050817,80.00000
25419,20050818,79.50000
25419,20050819,81.83000
25419,20050822,81.48000
25419,20050823,79.88000
25419,20050824,77.81000
25419,20050825,78.15000
25419,20050826,77.16000
25419,20050829,76.55000
25419,20050830,75.81000
25419,20050831,76.05000
25419,20050901,75.96000
25419,20050902,76.30000
25419,20050906,78.00000
25419,20050907,78.88000
25419,20050908,77.93000
25419,20050909,78.81000
25419,20050912,79.10000
25419,20050913,77.91000
25419,20050914,77.97000
25419,20050915,77.36000
25419,20050916,77.52000
25419,20050919,76.25000
25419,20050920,73.10000
25419,20050921,71.78000
25419,20050922,72.77000
25419,20050923,73.14000
25419,20050926,72.99000
25419,20050927,73.41000
25419,20050928,74.13000
25419,20050929,74.62000
25419,20050930,75.77000
25419,20051003,75.11000
25419,20051004,74.80000
25419,20051005,73.46000
25419,20051006,73.29000
25419,20051007,73.70000
25419,20051010,72.87000
25419,20051011,69.82000
25419,20051012,70.24000
25419,20051013,70.09000
25419,20051014,71.33000
25419,20051017,71.56000
25419,20051018,71.42000
25419,20051019,73.23000
25419,20051020,74.37000
25419,20051021,74.72000
25419,20051024,76.17000
25419,20051025,76.11000
25419,20051026,76.95000
25419,20051027,75.64000
25419,20051028,77.76000
25419,20051031,78.50000
25419,20051101,79.33000
25419,20051102,80.27000
25419,20051103,80.59000
25419,20051104,80.17000
25419,20051107,80.97000
25419,20051108,78.45000
25419,20051109,78.32000
25419,20051110,79.05000
25419,20051111,78.74000
25419,20051114,78.97000
25419,20051115,78.75000
25419,20051116,79.00000
25419,20051117,80.03000
25419,20051118,80.03000
25419,20051121,81.44000
25419,20051122,82.22000
25419,20051123,83.17000
25419,20051125,82.75000
25419,20051128,81.78000
25419,20051129,81.55000
25419,20051130,81.85000
25419,20051201,84.85000
25419,20051202,84.81000
25419,20051205,83.28000
25419,20051206,83.68000
25419,20051207,82.51000
25419,20051208,83.14000
25419,20051209,83.85000
25419,20051212,83.76000
25419,20051213,84.28000
25419,20051214,85.65000
25419,20051215,84.13000
25419,20051216,83.90000
25419,20051219,82.91000
25419,20051220,82.46000
25419,20051221,83.88000
25419,20051222,84.17000
25419,20051223,83.83000
25419,20051227,83.15000
25419,20051228,83.58000
25419,20051229,84.21000
25419,20051230,83.76000
25419,20060103,82.67000
25419,20060104,83.05000
25419,20060105,83.18000
25419,20060106,83.68000
25419,20060109,84.99000
25419,20060110,83.10000
25419,20060111,83.05000
25419,20060112,81.88000
25419,20060113,81.18000
25419,20060117,81.45000
25419,20060118,81.00000
25419,20060119,81.94000
25419,20060120,81.16000
25419,20060123,82.16000
25419,20060124,82.01000
25419,20060125,81.89000
25419,20060126,81.85000
25419,20060127,81.74000
25419,20060130,81.20000
25419,20060131,80.68000
25419,20060201,80.48000
25419,20060202,86.37000
25419,20060203,86.61000
25419,20060206,87.46000
25419,20060207,86.92000
25419,20060208,89.75000
25419,20060209,87.38000
25419,20060210,87.28000
25419,20060213,85.83000
25419,20060214,88.07000
25419,20060215,88.14000
25419,20060216,89.30000
25419,20060217,89.20000
25419,20060221,89.39000
25419,20060222,91.11000
25419,20060223,90.60000
25419,20060224,90.64000
25419,20060227,90.87000
25419,20060228,89.79000
25419,20060301,89.90000
25419,20060302,89.49000
25419,20060303,89.42000
25419,20060306,88.30000
25419,20060307,85.79000
25419,20060308,85.55000
25419,20060309,86.31000
25419,20060310,86.00000
25419,20060313,86.29000
25419,20060314,88.00000
25419,20060315,89.02000
25419,20060316,87.54000
25419,20060317,86.25000
25419,20060320,87.60000
25419,20060321,86.87000
25419,20060322,87.95000
25419,20060323,87.41000
25419,20060324,87.72000
25419,20060327,90.00000
25419,20060328,89.57000
25419,20060329,95.95000
25419,20060330,91.46000
25419,20060331,91.47000
25419,20060403,92.28000
25419,20060404,91.74000
25419,20060405,91.41000
25419,20060406,90.92000
25419,20060407,90.91000
25419,20060410,90.31000
25419,20060411,90.22000
25419,20060412,92.09000
25419,20060413,91.33000
25419,20060417,90.79000
25419,20060418,90.48000
25419,20060419,91.25000
25419,20060420,90.75000
25419,20060421,90.05000
25419,20060424,90.50000
25419,20060425,92.64000
25419,20060426,90.27000
25419,20060427,90.50000
25419,20060428,89.75000
25419,20060501,88.95000
25419,20060502,89.18000
25419,20060503,91.34000
25419,20060504,92.83000
25419,20060505,92.58000
25419,20060508,92.78000
25419,20060509,93.09000
25419,20060510,92.17000
25419,20060511,91.03000
25419,20060512,88.78000
25419,20060515,89.30000
25419,20060516,89.00000
25419,20060517,87.85000
25419,20060518,84.73000
25419,20060519,85.96000
25419,20060522,84.62000
25419,20060523,88.00000
25419,20060524,87.88000
25419,20060525,88.36000
25419,20060526,90.98000
25419,20060530,88.48000
25419,20060531,89.92000
25419,20060601,90.25000
25419,20060602,89.50000
25419,20060605,86.63000
25419,20060606,85.39000
25419,20060607,82.74000
25419,20060608,84.50000
25419,20060609,84.25000
25419,20060612,83.33000
25419,20060613,81.44000
25419,20060614,80.25000
25419,20060615,81.96000
25419,20060616,80.98000
25419,20060619,79.37000
25419,20060620,79.16000
25419,20060621,80.22000
25419,20060622,80.33000
25419,20060623,81.60000
25419,20060626,81.83000
25419,20060627,80.84000
25419,20060628,80.01000
25419,20060629,82.41000
25419,20060630,82.65000
25419,20060703,82.22000
25419,20060705,81.90000
25419,20060706,82.65000
25419,20060707,82.55000
25419,20060710,82.40000
25419,20060711,81.29000
25419,20060712,75.89000
25419,20060713,76.55000
25419,20060714,75.82000
25419,20060717,76.06000
25419,20060718,75.10000
25419,20060719,77.65000
25419,20060720,76.75000
25419,20060721,75.79000
25419,20060724,77.89000
25419,20060725,78.85000
25419,20060726,78.24000
25419,20060727,77.50000
25419,20060728,78.26000
