PERMNO,date,PRC
14702,20050412,15.92000
14702,20050413,15.45000
14702,20050414,15.26000
14702,20050415,14.50000
14702,20050418,14.86000
14702,20050419,15.00000
14702,20050420,14.76000
14702,20050421,15.13000
14702,20050422,14.96000
14702,20050425,14.99000
14702,20050426,15.00000
14702,20050427,14.93000
14702,20050428,14.88000
14702,20050429,14.87000
14702,20050502,15.08000
14702,20050503,15.09000
14702,20050504,15.41000
14702,20050505,15.47000
14702,20050506,15.63000
14702,20050509,15.68000
14702,20050510,15.81000
14702,20050511,15.75000
14702,20050512,15.69000
14702,20050513,16.16000
14702,20050516,16.07000
14702,20050517,16.04000
14702,20050518,15.94000
14702,20050519,15.72000
14702,20050520,15.85000
14702,20050523,16.03000
14702,20050524,16.48000
14702,20050525,16.40000
14702,20050526,16.69000
14702,20050527,16.65000
14702,20050531,16.42000
14702,20050601,16.65000
14702,20050602,16.86000
14702,20050603,16.87000
14702,20050606,16.82000
14702,20050607,16.58000
14702,20050608,16.89000
14702,20050609,17.40000
14702,20050610,17.15000
14702,20050613,16.98000
14702,20050614,16.90000
14702,20050615,16.88000
14702,20050616,16.87000
14702,20050617,16.90000
14702,20050620,16.67000
14702,20050621,16.69000
14702,20050622,16.89000
14702,20050623,16.91000
14702,20050624,16.45000
14702,20050627,16.23000
14702,20050628,16.31000
14702,20050629,16.20000
14702,20050630,16.18000
14702,20050701,16.14000
14702,20050705,16.27000
14702,20050706,16.12000
14702,20050707,16.34000
14702,20050708,16.66000
14702,20050711,17.20000
14702,20050712,17.10000
14702,20050713,17.13000
14702,20050714,17.39000
14702,20050715,17.35000
14702,20050718,17.22000
14702,20050719,17.69000
14702,20050720,18.39000
14702,20050721,18.19000
14702,20050722,18.30000
14702,20050725,18.18000
14702,20050726,18.26000
14702,20050727,18.11000
14702,20050728,18.28000
14702,20050729,18.48000
14702,20050801,18.24000
14702,20050802,18.58000
14702,20050803,18.41000
14702,20050804,17.95000
14702,20050805,17.85000
14702,20050808,17.63000
14702,20050809,17.78000
14702,20050810,17.40000
14702,20050811,17.79000
